scale,expert_id,hard_count,hard_fraction,soft_mass,soft_fraction
moe_4,0,5144316,0.21889960765838623,2576926.892461121,0.21930546130013626
moe_4,1,1389941,0.059144411236047745,691721.7421218157,0.05886793148504014
moe_4,2,1522379,0.06477987766265869,761196.3205294311,0.06478046028470785
moe_4,3,1792926,0.07629212737083435,893763.9879758358,0.07606243089391304
moe_4,4,615853,0.02620561793446541,305986.2259698212,0.026040494448684403
moe_4,5,5173016,0.2201208472251892,2590601.3624860942,0.22046920636625938
moe_4,6,6352178,0.27029624581336975,3180298.5729374886,0.2706544945650777
moe_4,7,1510191,0.06426125764846802,749904.9357032478,0.06381952407605254
moe_8,0,48095,0.008186104707419872,23819.82970353961,0.008108602159429334
moe_8,1,91917,0.015644913539290428,45379.864723831415,0.015447938699561348
moe_8,2,178524,0.030386028811335564,88647.74765974283,0.030176929350402653
moe_8,3,333923,0.056836023926734924,165958.83474338055,0.05649470136961484
moe_8,4,1079313,0.183706596493721,540290.226647377,0.18392232660926505
moe_8,5,15879,0.0027027165051549673,7814.575022190809,0.002660190298948396
moe_8,6,2207942,0.37580713629722595,1104823.899940014,0.37609746049156245
moe_8,7,1919607,0.32673048973083496,960865.0313575864,0.32709185435647686
moe_16,0,73419,0.04998570308089256,35764.293339937925,0.048698656508630075
moe_16,1,63136,0.042984750121831894,31102.97867962718,0.04235155048968842
moe_16,2,229857,0.15649305284023285,113607.60011604428,0.15469444460245682
moe_16,3,171072,0.1164705902338028,86354.0012601316,0.11758442437381754
moe_16,4,69676,0.047437362372875214,35119.80493631959,0.04782108515294062
moe_16,5,387046,0.2635117173194885,197642.84928244352,0.2691215268007129
moe_16,6,171904,0.11703703552484512,85321.4281590879,0.1161784152493027
moe_16,7,302690,0.20607979595661163,149487.04652771354,0.20354989995603695
