scale,expert_id,hard_count,hard_fraction,soft_mass,soft_fraction
moe_4,0,5880588,0.25022926926612854,2944065.834429115,0.2505502650487741
moe_4,1,567869,0.02416381612420082,281040.70250585675,0.02391754344582795
moe_4,2,651428,0.027719397097826004,323436.2788809836,0.027525554779495472
moe_4,3,1475962,0.06280475854873657,733329.2882534862,0.062408878698043145
moe_4,4,307417,0.01308112870901823,152164.65090081096,0.01294974221310006
moe_4,5,4670133,0.19872230291366577,2335284.7699650526,0.19874087435023935
moe_4,6,7758893,0.3301544189453125,3894706.124620825,0.33145306752287795
moe_4,7,2188510,0.09312491118907928,1086372.382219404,0.09245407664585069
moe_8,0,38519,0.006556202191859484,19150.812237918377,0.006519203512363282
moe_8,1,1220065,0.20766356587409973,607160.9828798473,0.2066860644334992
moe_8,2,49561,0.008435627445578575,24692.655345767736,0.008405724178161674
moe_8,3,362405,0.06168385595083237,179810.35425138474,0.06120995174679491
moe_8,4,493363,0.08397382497787476,246125.5482148826,0.08378456842826887
moe_8,5,68628,0.0116809643805027,34077.663762420416,0.011600511901695403
moe_8,6,1171239,0.19935303926467896,584160.8149383068,0.19885648656668942
moe_8,7,2471420,0.42065292596817017,1242421.171779573,0.42293749039337314
moe_16,0,246383,0.16774441301822662,122636.58859568834,0.16698881889391115
moe_16,1,100779,0.06861315667629242,50284.337736696005,0.06846995879179739
moe_16,2,176809,0.12037649750709534,87264.47687596083,0.11882417875266997
moe_16,3,190379,0.12961533665657043,95713.23531672359,0.1303284794617696
moe_16,4,52594,0.03580746054649353,26178.148013830185,0.035645626380487724
moe_16,5,359108,0.24449074268341064,182417.35103479028,0.24838963920859242
moe_16,6,61136,0.04162309318780899,30159.02710068226,0.041066213372388694
moe_16,7,281612,0.19172930717468262,139746.83608675003,0.19028708617476855
