run_id,experiment_id,config_hash,git_commit,seed,backbone,experts,top_k,router_variant,loss_variant,moe_type,batch_equivalence,validation_primary_metric,validation_primary_value,best_epoch,best_global_step,status,timestamp
EXP_B4_E2_K1_S1_R1_L3_M_SPARSE__20260906_001609_3ee273ac,EXP_B4_E2_K1_S1_R1_L3_M_SPARSE,c0fafb3f0c8b125f515cff3aa54b84a99af6c69d70ad724c81b1addb071e5021,c1f1ed2be162443fbad2cd4028564fbc24085b96,42,pvt_v2_b4,2,1,token_only,"BCE=1.0,IoU=1.0,SSIM=1.0,BND=1.0",sparse,MATCHED,MAE,,,,FAILED,20260906_001609
EXP_B4_E2_K1_S1_R1_L3_M_SPARSE__20260906_001622_c64baa6d,EXP_B4_E2_K1_S1_R1_L3_M_SPARSE,c0fafb3f0c8b125f515cff3aa54b84a99af6c69d70ad724c81b1addb071e5021,c1f1ed2be162443fbad2cd4028564fbc24085b96,42,pvt_v2_b4,2,1,token_only,"BCE=1.0,IoU=1.0,SSIM=1.0,BND=1.0",sparse,MATCHED,MAE,0.5533515487579366,1,0,COMPLETED,20260906_001622
EXP_B4_E8_K2_S32_R1_L3_M_SPARSE__20260906_002746_c6cf40ae,EXP_B4_E8_K2_S32_R1_L3_M_SPARSE,2ace9c0f7e4ae3c0efeb0feb04b7ab3b62491adbec319991cc73dc40d6a21751,c1f1ed2be162443fbad2cd4028564fbc24085b96,42,pvt_v2_b4,8,2,token_only,"BCE=1.0,IoU=1.0,SSIM=1.0,BND=1.0",sparse,MATCHED,MAE,,,,FAILED,20260906_002746
EXP_B4_E8_K2_S32_R1_L3_M_SPARSE__20260906_160406_3eb3c2e4,EXP_B4_E8_K2_S32_R1_L3_M_SPARSE,5da4e7edf0b4a0e140a2b59fee13777c0f3c381429b1011b11a62bf629c99734,c1f1ed2be162443fbad2cd4028564fbc24085b96,42,pvt_v2_b4,8,2,token_only,"BCE=1.0,IoU=1.0,SSIM=1.0,BND=1.0",sparse,MATCHED,MAE,,,,FAILED,20260906_160406
