scale,expert_id,hard_count,hard_fraction,soft_mass,soft_fraction
moe_4,0,5026350,0.21387995779514313,2517117.918162018,0.2142155091028406
moe_4,1,840718,0.03577401489019394,417235.9777864814,0.03550823612698133
moe_4,2,801210,0.03409288078546524,399537.88430318236,0.034002066678851986
moe_4,3,1710816,0.07279819995164871,849298.7164146304,0.07227828128528649
moe_4,4,399409,0.016995549201965332,197829.63500997424,0.016835991541562352
moe_4,5,5841706,0.24857477843761444,2924844.791674465,0.24891448730889715
moe_4,6,7693774,0.32738348841667175,3857627.324641347,0.32829753239390547
moe_4,7,1186817,0.050501130521297455,586907.7870255113,0.04994789854179528
moe_8,0,43801,0.007455235347151756,21684.64151749015,0.007381754329210971
moe_8,1,212818,0.03622310608625412,105470.71900558472,0.03590370336519087
moe_8,2,142177,0.02419951744377613,70578.74242916703,0.02402598802735806
moe_8,3,553304,0.09417619556188583,275396.03349009156,0.0937486497447207
moe_8,4,737769,0.12557342648506165,370325.5590634048,0.12606398388596296
moe_8,5,53600,0.009123093448579311,26370.482773691416,0.008976880029170553
moe_8,6,1919835,0.32676929235458374,959302.9213938415,0.32656009034376415
moe_8,7,2211896,0.3764801323413849,1108470.9102855027,0.3773389536647272
moe_16,0,0,0.0,0.0,0.0
moe_16,1,0,0.0,0.0,0.0
moe_16,2,0,0.0,0.0,0.0
moe_16,3,0,0.0,0.0,0.0
moe_16,4,0,0.0,0.0,0.0
moe_16,5,0,0.0,0.0,0.0
moe_16,6,0,0.0,0.0,0.0
moe_16,7,0,0.0,0.0,0.0
