scale,expert_id,hard_count,hard_fraction,soft_mass,soft_fraction
moe_4,0,6036682,0.2568713426589966,3035050.8542529047,0.2582934073948891
moe_4,1,1245374,0.05299283564090729,617029.6898215711,0.05251137746983687
moe_4,2,1075754,0.04577520862221718,535137.3735352457,0.04554205589045868
moe_4,3,1367823,0.05820325389504433,678781.5482892096,0.05776667588245588
moe_4,4,228149,0.00970813725143671,112906.17181658745,0.009608708794303807
moe_4,5,6624808,0.2818971276283264,3313908.5550684333,0.28202516978727815
moe_4,6,4607041,0.19603762030601501,2298060.719522983,0.19557297790058065
moe_4,7,2315169,0.09851447492837906,1159525.1289720237,0.09867963039318012
moe_8,0,16278,0.0027706290129572153,8055.700329333544,0.002742272715595569
moe_8,1,224873,0.03827495127916336,111234.10446691513,0.03786564013715793
moe_8,2,36286,0.0061761303804814816,17961.815203279257,0.006114452343164235
moe_8,3,1163052,0.1979595571756363,576272.1702052057,0.19617108190536686
moe_8,4,484323,0.08243515342473984,240935.4491392374,0.08201778633552471
moe_8,5,22752,0.0038725489284843206,11238.97413867712,0.00382590350581329
moe_8,6,1140836,0.1941782385110855,563956.8066977262,0.19197876044993403
moe_8,7,2786800,0.4743327796459198,1407944.9846965075,0.47928410426760193
moe_16,0,0,0.0,0.0,0.0
moe_16,1,0,0.0,0.0,0.0
moe_16,2,0,0.0,0.0,0.0
moe_16,3,0,0.0,0.0,0.0
moe_16,4,0,0.0,0.0,0.0
moe_16,5,0,0.0,0.0,0.0
moe_16,6,0,0.0,0.0,0.0
moe_16,7,0,0.0,0.0,0.0
