scale,expert_id,hard_count,hard_fraction,soft_mass,soft_fraction
moe_4,0,6953321,0.2958759367465973,3491689.5994224846,0.29715495637786665
moe_4,1,1504995,0.0640401616692543,748632.7964799106,0.06371126059367431
moe_4,2,1327540,0.056489139795303345,660923.4192767441,0.05624688685293642
moe_4,3,962009,0.04093515872955322,477028.5837481618,0.040596795321704945
moe_4,4,413284,0.017585953697562218,204476.8659926653,0.017401694069364898
moe_4,5,7141284,0.30387407541275024,3585118.432941735,0.3051060757882059
moe_4,6,4258704,0.18121527135372162,2117918.6690331995,0.1802422614577546
moe_4,7,939663,0.03998429700732231,464611.6608249843,0.03954007189755109
moe_8,0,19230,0.003273080103099346,9529.856511980295,0.00324409603485168
moe_8,1,138738,0.023614175617694855,68579.6631411016,0.02334547356382816
moe_8,2,126764,0.021576115861535072,63002.274284273386,0.021446852629450362
moe_8,3,166610,0.028358183801174164,82970.17633366585,0.02824420490661283
moe_8,4,517680,0.0881127417087555,257982.35368698835,0.08782079033462294
moe_8,5,9734,0.0016567946877330542,4816.334462434053,0.0016395474068743373
moe_8,6,2633817,0.4482940137386322,1320408.552619636,0.4494854822370766
moe_8,7,2262627,0.3851148784160614,1130310.7984321117,0.38477355611114916
moe_16,0,62190,0.042340684682130814,30341.377288013697,0.041314511557752856
moe_16,1,18003,0.012256944552063942,8828.645777076483,0.012021576493840527
moe_16,2,308085,0.2097528576850891,153593.60521033406,0.20914161929511718
moe_16,3,246598,0.16789080202579498,124496.30366569757,0.16952111065590628
moe_16,4,46724,0.031811002641916275,23059.20146688819,0.03139869480785429
moe_16,5,368384,0.2508060932159424,184275.751968354,0.25092014156910947
moe_16,6,230178,0.156711608171463,116018.8226941824,0.1579776997469804
moe_16,7,188638,0.12843000888824463,93786.29410108924,0.1277046488304592
