scale,expert_id,hard_count,hard_fraction,soft_mass,soft_fraction
moe_4,0,5098992,0.2169709950685501,2541045.010221094,0.21625178804305334
moe_4,1,656015,0.027914581820368767,326156.23865810037,0.02775703283786938
moe_4,2,1060487,0.0451255701482296,528545.7584284544,0.04498108646756318
moe_4,3,978303,0.04162849858403206,487194.8829295039,0.041461982820117094
moe_4,4,607675,0.025857631117105484,302026.6036507189,0.025703516786723765
moe_4,5,4213096,0.1792745739221573,2099921.470970243,0.17871063716726607
moe_4,6,7515988,0.319818377494812,3782460.6923750043,0.321900589969278
moe_4,7,3370244,0.14340975880622864,1683049.3499435484,0.1432333665188886
moe_8,0,56860,0.009677967987954617,28294.337999790907,0.009631787173131436
moe_8,1,936628,0.15942060947418213,466373.3852747679,0.1587600031572603
moe_8,2,18009,0.0030652573332190514,8969.957667469978,0.003053498661311948
moe_8,3,167974,0.02859034575521946,83588.29424998164,0.028454620863964337
moe_8,4,236763,0.0402987115085125,117872.58721393347,0.04012547222696537
moe_8,5,41147,0.007003506179898977,20423.79572492838,0.0069525448410023075
moe_8,6,2586200,0.44018927216529846,1300024.8125180006,0.44254657288875293
moe_8,7,1831619,0.3117543160915375,912052.8330881894,0.31047550145975944
moe_16,0,70385,0.047920070588588715,34805.71278348565,0.047393399759648215
moe_16,1,13628,0.009278322570025921,6714.528067886829,0.009142875909431957
moe_16,2,206869,0.14084218442440033,102810.30474984646,0.13999224502974736
moe_16,3,468129,0.31871527433395386,236525.71409898996,0.32206660416529137
moe_16,4,36217,0.024657543748617172,17954.036510705948,0.024447217471004833
moe_16,5,176559,0.12020628899335861,88996.27407291532,0.12118229040429646
moe_16,6,20306,0.013824891299009323,9951.89347115159,0.013551053201459138
moe_16,7,476707,0.3245554268360138,236641.53682267666,0.32222431484569264
